contrast-90;energy-90;homogenity-90;correlation-90;dissimilarity-90;ASM-90;target
1.068.180.602;0.05521987;0.36574934;0.9423917;201.117.057;0.00351113;2
997.424.749;0.05997117;0.37067181;0.93518036;199.555.184;0.0040403;2
1.032.424.749;0.05697098;0.36919299;0.93953386;205.075.808;0.00360527;2
1.116.855.072;0.05389023;0.35931052;0.94398995;209.176.143;0.00327491;2
909.402.453;0.06062716;0.38863038;0.94702461;189.570.792;0.00410939;2
1.017.703.456;0.05968909;0.36400829;0.92928882;201.849.498;0.00403872;2
972.132.664;0.0593779;0.37760417;0.93840413;202.362.319;0.00391612;2
1.048.334.448;0.05886013;0.3642354;0.93363917;202.241.918;0.00394371;2
101.899.777;0.05759129;0.36915872;0.93801908;200.483.835;0.00376701;2
953.204.013;0.05870078;0.38111105;0.94277563;191.670.011;0.00391016;2
993.405.797;0.05822474;0.3715318;0.94121394;209.392.419;0.00370532;1
875.852.843;0.06742338;0.39042761;0.92887682;195.053.512;0.00495384;1
815.685.619;0.06778131;0.40330452;0.93537207;181.975.474;0.0050745;1
1.037.973.244;0.05857664;0.3709749;0.93860601;208.316.611;0.00371578;1
1.051.491.639;0.05718544;0.36990652;0.9412644;21.374.359;0.00355955;1
918.240.803;0.06432971;0.38383289;0.93280868;19.661.427;0.00455201;1
878.956.522;0.06480552;0.39210451;0.93751291;189.154.961;0.00464208;1
813.149.387;0.06831331;0.39942319;0.93364619;18.519.175;0.00504401;1
949.405.797;0.06172657;0.37577589;0.93417195;197.694.537;0.00429284;1
975.843.924;0.06265329;0.37593527;0.9302802;199.523.969;0.00438733;1
702.244.147;0.06373407;0.42028533;0.95582566;172.733.556;0.00447338;3
681.536.232;0.06382992;0.426039;0.95902441;168.369.008;0.00452387;3
686.833.891;0.06424293;0.42788867;0.95892024;170.128.205;0.00447364;3
561.575.251;0.07354432;0.46605064;0.96407646;14.154.961;0.00607186;3
974.537.347;0.05681873;0.38499769;0.95768986;211.956.522;0.00348419;3
654.005.574;0.06726295;0.42221438;0.95115411;166.123.746;0.0050031;3
697.975.474;0.06536422;0.43235462;0.95601524;164.023.411;0.00469729;3
755.811.594;0.06171216;0.41237728;0.95529909;166.023.411;0.00441443;3
627.283.166;0.07017439;0.44806876;0.95655877;155.114.827;0.00545981;3
